Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
New Zealand,,,,,,,50.2999992370606,51.7000007629394,53,53.7999992370606,54.2000007629394,54.7999992370606,55.5999984741211,55.7000007629394,53.4000015258789,54.2000007629394,53.7000007629394,55.9000015258789,55.9000015258789,56.2000007629394,56.2999992370606,56.0999984741211,56.5999984741211,57.5,58.2000007629394,59.0999984741211,58.2999992370606,58.4000015258789
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,38.0999984741211,38.4000015258789,38.0999984741211,37.9000015258789,
Nigeria,,,,51.7000007629394,,,37.5999984741211,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,58.9000015258789,,,,,,
Northern Mariana Islands,,,,,,,,,,,49.2999992370606,,,,,78.3000030517578,,,,,,,,,,,,
Norway,50,49.7999992370606,51.5,52.5999984741211,51.7999992370606,52.7000007629394,53.0999984741211,53.2999992370606,54.5,55.5,56.4000015258789,57.7999992370606,58.2999992370606,58.9000015258789,58.7000007629394,59,58.2999992370606,58.4000015258789,58.5999984741211,59.9000015258789,61,61.0999984741211,60.9000015258789,61.2999992370606,62.2999992370606,62.5,62.5,63.0999984741211
Oman,,,,,,,,,,,,,,81.1999969482422,,,84.4000015258789,,,,82.4000015258789,,,,,,,
Pakistan,,,,,,30.3999996185303,28.5,32.2000007629394,31,31,30.8999996185303,34.5999984741211,34.7000007629394,35.9000015258789,35.0999984741211,36.4000015258789,36.4000015258789,39,38,38,,36.0999984741211,,40.0999984741211,,40.5,,40.5
Panama,,,39,39.9000015258789,39.9000015258789,37.5999984741211,39.0999984741211,,,,,,45,46.5999984741211,49.2000007629394,48.5,49.5,50.4000015258789,52.2999992370606,52.2999992370606,53.7000007629394,53.0999984741211,54.0999984741211,53.2000007629394,54.4000015258789,56,54.4000015258789,53.7999992370606
Paraguay,,,63.0999984741211,58.7999992370606,60.0999984741211,58.5,59.5999984741211,61.9000015258789,62.0999984741211,60.5999984741211,,,,,,34.7999992370606,,41.5,41,39.7000007629394,40.5999984741211,40.0999984741211,39.5,42.0999984741211,,,,42.5999984741211
