Male industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Martinique,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,35.7999992370606,,35.7999992370606,38.5999984741211,35.2999992370606,34.5,35.0999984741211,35.2999992370606,,36.5999984741211,36.5,35.7999992370606,34.5999984741211,34.2000007629394,34.5,35.5
Mexico,,,,,,,,,,,30,25.2000007629395,,24.5,,24.7000007629395,25,24.5,27.1000003814697,27.7000007629395,29.5,28.1000003814697,27.2999992370605,27.8999996185303,28,31.7000007629394,32.2999992370606,30.6000003814697
Mongolia,,,,,,,,,,,,,,21.5,19,19.6000003814697,19.7000007629395,19.6000003814697,18.7999992370605,18.3999996185303,16.7999992370605,16.2999992370605,15.3999996185303,17.2999992370605,18.6000003814697,18.8999996185303,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,27.6000003814697,,26.1000003814697,,
Montserrat,,,,,,,,,,,,44.7000007629394,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,31.8999996185303,32.5,33,31.7999992370606,22.1000003814697,31.5,32.5,32,31.3999996185303,31.6000003814697,,29.7000007629394,20.5,20.7000007629395,20.5,20.7999992370605,22.3999996185303,
Namibia,,,,,,,,,,,,20.6000003814697,,,,,,19.3999996185303,,,17.2000007629395,,,,19.1000003814697,,,
Nepal,,,,,,,,,,,,3.70000004768372,,,,,,,,14.5,,13.1000003814697,,,,,,
Netherlands,39.4000015258789,,36.7999992370606,,37,,35.2999992370606,,34.5999984741211,34.9000015258789,34.7999992370606,34.2000007629394,32.9000015258789,32.7000007629394,31.8999996185303,31.6000003814697,31.3999996185303,31.2999992370606,30.6000003814697,30.6000003814697,30.2999992370606,30.6000003814697,29.3999996185303,28.6000003814697,29.6000003814697,29.1000003814697,,
Netherlands Antilles,,,,29.2000007629394,29.6000003814697,29.6000003814697,30,,,,,,34.2000007629394,34.4000015258789,33.5999984741211,34,32.9000015258789,31.2999992370606,29.7000007629394,,28.6000003814697,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,32.7999992370606,,,,,,,,,,,
New Zealand,,,,,,,36.5,35.4000015258789,34.2000007629394,33.5,32.5999984741211,31.6000003814697,30.8999996185303,31.2000007629394,33.7000007629394,33.7000007629394,33.7000007629394,32.5999984741211,32.9000015258789,31.7999992370606,32.4000015258789,31.7999992370606,31.8999996185303,31.8999996185303,32.2999992370606,31.8999996185303,32.5,32.0999984741211
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,18.6000003814697,19.3999996185303,20.1000003814697,20.2000007629395,
Nigeria,,,,5.30000019073486,,,7.80000019073486,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,28.7000007629394,,,,,,
Northern Mariana Islands,,,,,,,,,,,47.2999992370606,,,,,18.7999992370605,,,,,,,,,,,,
Norway,39.9000015258789,40.0999984741211,38.9000015258789,37.7000007629394,38.4000015258789,37.9000015258789,37.7000007629394,38,37.2000007629394,35.5999984741211,35.2000007629394,34.0999984741211,33.9000015258789,33.2000007629394,33.7999992370606,33.7999992370606,34.4000015258789,34.7000007629394,34.7999992370606,33.5999984741211,33,33,33.5,33.2999992370606,32.2999992370606,32.5,32.5999984741211,32.7000007629394
Oman,,,,,,,,,,,,,,7.5,,,7.69999980926514,,,,10.6999998092651,,,,,,,
Pakistan,,,,,,21,20.2000007629395,22.3999996185303,20.6000003814697,20.6000003814697,20.6000003814697,20.6000003814697,20.3999996185303,19.8999996185303,18.6000003814697,19.6000003814697,19.6000003814697,20.2000007629395,18.2999992370605,18.2999992370605,,19.5,,21.7000007629395,,21.3999996185303,,23.1000003814697
Panama,,,20.5,20,18.7000007629395,19.7999992370605,19,,,,,,19.6000003814697,20.6000003814697,21.7000007629395,21.3999996185303,21.3999996185303,21.8999996185303,21.7000007629395,22.2000007629395,21.5,21.2999992370605,21,21.7999992370605,22.3999996185303,21.7999992370605,23.2000007629395,24.7999992370605
Paraguay,,,35.0999984741211,34.5999984741211,34.9000015258789,37.0999984741211,35.7999992370606,33.5999984741211,33.9000015258789,36.4000015258789,,,,,,22.7000007629395,,22.7999992370605,22.2999992370605,21.8999996185303,21.7000007629395,21,19.1000003814697,19.2000007629395,,,,24
Peru,,,,,,,,36.2000007629394,,,32.2000007629394,,,,,31.7000007629394,28,27.3999996185303,27.2999992370605,24.7999992370605,24.3999996185303,24.1000003814697,41.2999992370606,40.7000007629394,40.5999984741211,40.7999992370606,40.7999992370606,41.2999992370606
Philippines,15.6000003814697,14.3999996185303,14.8999996185303,14.3000001907349,15.1999998092651,14.5,13.8999996185303,15.5,16.6000003814697,16.7000007629395,16.2999992370605,17.2999992370605,17.2000007629395,16.8999996185303,17.1000003814697,17,46,45.2000007629394,43.5,44.9000015258789,17.7000007629395,17.7999992370605,17.8999996185303,18,17.6000003814697,16.8999996185303,17.1000003814697,17.5
Poland,,,,,,,,,,,,,,,40.7999992370606,41.0999984741211,41,41.0999984741211,41.2999992370606,40.5,40.5,40.4000015258789,38.0999984741211,38,38.4000015258789,39,40.0999984741211,41.2000007629394
Portugal,43.5,44.7999992370606,44.7000007629394,42.0999984741211,40.4000015258789,40,40.0999984741211,41.4000015258789,41.7999992370606,41.5,40.7000007629394,40.2999992370606,40.0999984741211,40.4000015258789,40,40.2000007629394,39.2999992370606,40.5999984741211,44.7000007629394,44.0999984741211,44.5,44,44.2999992370606,42.7000007629394,41.2999992370606,41.2000007629394,40.9000015258789,40.9000015258789
Puerto Rico,27.2999992370605,27.1000003814697,25.3999996185303,25,25.5,24.8999996185303,25.7999992370605,26.8999996185303,26.6000003814697,27.1000003814697,,26.7000007629395,27.2000007629395,27.2999992370605,26.6000003814697,26.5,25.5,26.2000007629395,27.1000003814697,27.7999992370605,27.6000003814697,27.2999992370605,26,26.2000007629395,26.1000003814697,25.3999996185303,26,26.3999996185303
Qatar,,,,,,,,,,,,,,,,,,38,,,,43.9000015258789,,,47.5999984741211,,48,
Moldova,,,,,,,,,,,,,,,,,,,,,17.7000007629395,17.7000007629395,18.2999992370605,20.3999996185303,21.2999992370605,20.8999996185303,24,25.2000007629395
Romania,51.5999984741211,51.2000007629394,51.5999984741211,51.5,51.2000007629394,51.2000007629394,51.2000007629394,51.5999984741211,51.0999984741211,51.2000007629394,49.4000015258789,45.4000015258789,43.5999984741211,42,38.4000015258789,36.5999984741211,36.5,35.9000015258789,34.2999992370606,32.5,30.6000003814697,30.2000007629394,33.7000007629394,33.9000015258789,35.5,34.9000015258789,35.0999984741211,37
Russia,,,,,,,,,,,,,,,,,,36.0999984741211,35.0999984741211,34.2000007629394,34.7000007629394,35.5999984741211,36.2000007629394,38.0999984741211,37.5999984741211,38.0999984741211,37.9000015258789,38
Rwanda,,,,,,,,,,5.40000009536743,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,28.7999992370606,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,23.8999996185303,21.1000003814697,26.1000003814697,25.3999996185303,23.8999996185303,22.2999992370605,24.2000007629395,24.7999992370605,,21.8999996185303,20.7000007629395,21.2999992370605,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,26.7000007629395,,,,,,,,,,27.1000003814697,,,,,,
San Marino,52,51.7000007629394,50.7999992370606,49.7999992370606,50.4000015258789,51.7000007629394,51.7999992370606,51.5,51.5999984741211,51.5999984741211,51.5999984741211,51.4000015258789,50.4000015258789,50.5999984741211,,49.5,49.9000015258789,49.5999984741211,50.4000015258789,50.4000015258789,,52.7000007629394,52.2000007629394,52.7000007629394,52.4000015258789,50.4000015258789,49.5999984741211,48.7000007629394
Sao Tome and Principe,32.5,15.6000003814697,20.2000007629395,18.2999992370605,25.2999992370605,,,,,,,19.2000007629395,,,,,,,,,26.2999992370605,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,24.1000003814697,22.7000007629395,24.1000003814697,24,,,,23.3999996185303,22.8999996185303
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2000007629395,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,32.9000015258789,34.4000015258789,36.7000007629394,36.5
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,10.3000001907349,,,
