Total 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Chile,18.0637738330046,17.4183054857312,16.5445984828669,15.7821713492889,15.5629830791728,15.7020827334677,16.0346986227866,16.8387150053679,17.6269901440485,18.9269850083287,21.4021661586354,23.9982818923728,25.6157347963114,26.3665774207943,25.6612479210258,25.1167860479601,25.5864509605662,26.3288377627925,26.7371305539244,26.154294314706,25.128279601123
China,19.322068732659,17.7435990017167,17.4233580936516,16.8372496925038,16.3099254734659,16.3971039337465,16.8177480916031,16.8778923261851,17.4560826695643,19.6436578580329,21.4088277869599,24.5014863772251,27.9760410235809,29.3587096829652,29.2522967447294,28.5865780310225,28.3451672104962,27.552159195815,27.6699125876168,26.9638620636026,25.0644298977308
Colombia,14.2107017836306,14.1245389455413,13.7002561379397,13.2974137931034,12.7501992218628,12.4337630909167,12.2968802290559,12.4783304440592,13.5965308519288,15.3972737994021,17.473726555036,19.7635252851402,21.5771398950301,22.3520359608804,23.1378400091817,23.6093155374278,23.9849821007596,24.8143021135796,25.2224104191676,25.4471846320102,25.6035497312256
Comoros,14.8387096774194,15.819209039548,15.625,15.0943396226415,14.4067796610169,13.3828996282528,12.5,11.4583333333333,11.0091743119266,11.5853658536585,12.5226860254083,13.6363636363636,14.7398843930636,15.7963446475196,17.2619047619048,19.6467991169978,20.8418891170431,21.264367816092,21.6531895777179,21.9574468085106,23.4718826405868
"Congo, Dem. Rep.",13.217305639931,13.2396231969385,13.2613924462069,13.2434439810318,13.2018733053981,13.1011820936286,12.9665071770335,12.7475956945417,12.4132155496123,11.9362450469703,11.5323326316618,11.2222617173615,11.2302067053932,11.4832659493393,11.9658607272852,12.7853648593559,13.9555228141259,15.4044801103625,17.029331223285,18.7771160440354,20.3548161856921
"Congo, Rep.",15.470297029703,15.2901785714286,15.13353115727,14.8180242634315,14.4569288389513,13.926499032882,13.3480419194705,12.9428436466698,12.6737530662306,12.621359223301,12.4794204807376,12.3572474377745,12.5565309922852,13.379114373668,14.8999574286931,16.7124901806756,18.5982843584596,20.2289424226892,21.2779655560921,22.2612145254806,23.1273681142524
Costa Rica,17.184265010352,16.1347517730496,15.2923538230885,13.8432364096081,13.4065934065934,13.1578947368421,12.9471890971039,13.3160237388724,13.9935064935065,15.7229088818626,18.0407124681934,20.715935334873,22.7537168713639,23.4819447246318,24.1477813749762,24.9592465133128,26.2536873156342,27.4128686327078,27.6266492914155,27.0046229874063,25.6591337099812
Cote d'Ivoire,13.5782747603834,13.7598899208806,13.9082462253194,13.8967803030303,13.9525993883792,13.9706992901374,13.9581848420052,13.9870154668703,13.9708214398985,14.0101455079429,13.9996527576827,13.7393473290376,13.4955957348169,13.66264662151,14.5072721875928,15.6903624991593,17.1152073732719,18.6237909384015,19.9244669411734,21.3102704821639,22.5785627002974
Croatia,23.7279335410177,23.9727753970255,21.8842729970326,21.8393593787916,23.1599136897626,24.9003516998828,26.9591044094128,26.1734465802414,26.0734838424081,26.3169164882227,26.9094138543517,28.5907248986943,28.6621315192744,28.0906593406593,27.8536698309794,27.9802492358335,28.0143540669856,27.7764217720283,26.8664169787765,25.1085568326948,24.1505488761108
Cuba,17.3171143774286,18.348623853211,18.7088643047192,17.5427565392354,16.649454962708,16.276359012398,17.1698688624581,19.0301467671559,20.5099150141643,22.1081576535289,24.0169552669553,26.147936394497,29.7483041770796,32.0938113072944,31.8384849026264,29.3452914798206,27.4047186932849,26.0270170244264,26.5088869879289,26.8261468793069,25.3470437017995
Cyprus,18.3838383838384,19.2090395480226,18.673647469459,18.52487135506,18.5667752442997,18.421052631579,19.8036006546645,19.7530864197531,21.5542521994135,22.9822161422709,24.9047013977128,26.3157894736842,26.8181818181818,26.7027027027027,26.4948453608247,27.120315581854,27.851711026616,28.9134438305709,28.2511210762332,26.6375545851528,25.1277683134583
Czech Rep.,27.3358727313466,27.9087288774082,25.2225830103698,25.0283242352456,24.068972553821,22.6529798684473,23.0208130713869,22.8978760546989,24.7258612324114,26.812015503876,28.4722222222222,28.4719497842291,27.1181556195965,27.6144257303264,29.5080416272469,30.1749408983452,30.722433460076,29.1487120559226,25.7853150896126,23.9357585139319,22.9401476875243
Denmark,24.5609927417467,25.2083802658256,25.2183406113537,24.9001891153604,23.6810064935065,22.3868800632286,22.0530835284934,23.274007432036,25.5447470817121,26.8605318538359,27.7923538230885,28.0782721063319,27.7970432560686,27.8471845011769,27.0338372930166,24.9060654857756,23.3523334520841,23.0837631157745,23.6049206632198,24.7132616487455,25.1622206200433
Djibouti,12.9032258064516,11.5942028985507,13.0952380952381,11.965811965812,11.875,12.5560538116592,12.3529411764706,12.9032258064516,13.0590339892665,13.1621187800963,13.6986301369863,14.3920595533499,15.2445961319681,16.4570230607966,17.6070038910506,19.009009009009,20.8542713567839,22.6698262243286,23.9162929745889,24.5551601423488,24.8125426039536
Dominican Rep.,11.9028006589786,11.7937853107345,11.7576842733512,11.9433198380567,12.3749456285341,12.8989361702128,13.2995780590717,13.6055446737984,13.8885121388851,14.575895605072,15.9402241594022,17.6458245908519,19.2665036674817,20.4323827046918,21.1896235479081,21.884396926161,22.6548672566372,23.5739367928209,24.2620700175425,24.8142310290475,25.2436574659624
Ecuador,15.9043965771614,15.0259067357513,14.2149132687542,13.5860058309038,13.1869973190349,12.8980891719745,12.93157564344,13.0630630630631,13.5032590718942,14.7742218325296,16.1968970839087,17.8073801868014,19.3871623584084,20.3192436802083,21.1823621227888,22.0266235381936,22.9169164368781,23.9068413391558,25.0156632682121,25.7266300078555,25.8964807916829
Egypt,15.7951006368242,15.465397710957,15.0976653836469,14.8539937923608,14.690917268715,14.8084547589586,14.6464419138498,13.8903146839341,14.2209455250225,14.940494832446,15.9705299759167,17.1833687593965,17.7806188886521,18.5000762710018,19.8734780360709,21.839365157996,24.2622063928588,25.2130846415972,25.4705268091334,25.3587187708327,25.0775858075872
El Salvador,13.669391462307,13.6513157894737,13.352580295922,13.0702836004932,12.563485699011,12.724268177526,13.041613041613,13.5227045409082,14.2615875398762,15.0314245810056,15.6628532974428,16.4494307869988,17.5036331341838,18.5991852083986,19.4196765906,20.0666956647818,21.3260899846775,23.5492577597841,25.8153603366649,26.5566585019982,26.4847715736041
Equatorial Guinea,18.5840707964602,18.0672268907563,17.7165354330709,17.3431734317343,17.0648464163823,17.1548117154812,14.9321266968326,12.4203821656051,10.8753315649867,11.5044247787611,13.9622641509434,16.8852459016393,18.1556195965418,17.0294494238156,14.7260273972603,13.5942327497425,14.1518275538894,15.5172413793103,17.4363057324841,18.6991869918699,19.5847750865052
Eritrea,12.4234470691164,12.3515439429929,12.4210526315789,12.5154130702836,12.7705627705628,12.9078014184397,13.5627530364372,13.1860299358517,12.9512349588347,12.1334996880848,11.1932129173508,10.2415026833631,10.2642665645347,12.2503328894807,15.3594284863819,17.812288993923,19.5918367346939,20.0819672131148,19.8798355644566,20.8124323792663,22.4550343037271
Estonia,23.2029117379436,23.9861949956859,23.6408566721582,22.5756400310318,23.3870967741935,23.8128491620112,26.036709721278,25.3770491803279,24.4430299172502,25.4861111111111,25.8746355685131,26.9687964338782,26.7563527653214,26.3670411985019,26.0869565217391,26.832955404384,28.6702536510377,27.9906176700547,26.031746031746,23.7138263665595,21.8978102189781
Ethiopia,13.1868727963114,13.4009952209686,13.6325335935075,13.5235926827353,13.4132439807938,13.3317144244779,13.2875822530995,13.2302070645554,13.1074896983,12.7654346986768,12.5345340761658,12.5073667291722,12.5669298751427,12.8994045949063,13.4424437775555,14.2621076439022,15.5641195205193,17.2927755590216,19.0573304669182,20.6763096882549,22.2343681679056
Fiji,10.7638888888889,10.7142857142857,11.6751269035533,12.3110151187905,12.9343629343629,13.3448873483536,13.7876386687797,14.2454160789845,15.3314917127072,16.7750325097529,18.4769038701623,19.9275362318841,20.2576112412178,20.0228832951945,20.5186020293123,21.4364640883978,22.5490196078431,24.622030237581,25.9698275862069,26.4929424538545,27.032967032967
Finland,22.5436408977556,23.3293978748524,22.8668171557562,22.8527607361963,22.9967426710098,22.4533106960951,22.9031583350763,23.0769230769231,25.7068377782234,27.726649696495,29.1706939880147,29.8931705455933,27.9461279461279,25.9300184162063,24.9317561419472,24.2862305746296,23.9718614718615,24.7152413668414,24.477177668667,23.9627124840066,23.7509184423218
France,26.3708944877372,26.1019839166801,23.0848385331144,22.5518740260805,22.2224410611939,22.0960003034383,23.1566265060241,21.8631521935367,22.9746133952605,24.2857881760659,25.9229819547092,27.5227403097599,26.9757639620653,26.5105870201412,25.4320036962883,24.5791962534402,23.8758593714741,23.0002982403817,22.9128688512442,22.9856349018681,23.1653613122506
French Guiana,20,21.4285714285714,21.875,17.948717948718,17.0212765957447,16.0714285714286,16.1764705882353,16.4705882352941,16.3793103448276,17.8571428571429,19.3939393939394,19.3069306930693,21.0300429184549,22.1374045801527,21.3058419243986,20.8074534161491,20.9039548022599,21.5584415584416,23.2445520581114,24.4851258581236,25.3246753246753
French Polynesia,15,14.2857142857143,14.1025641025641,13.1868131868132,13.7614678899083,14.0625,13.9072847682119,14.9425287356322,15.4639175257732,16.7441860465116,18.9873417721519,21.875,24.0740740740741,24.9134948096886,25.1633986928105,25.0783699059561,25.8358662613982,26.2536873156342,27.1137026239067,26.8571428571429,25.4957507082153
Gabon,22.1276595744681,21.7573221757322,21.6049382716049,21,20.377358490566,18.5185185185185,16.0058737151248,14.0684410646388,13.0387931034483,13.0634774609016,13.6032388663968,14.6305779078274,15.5229846768821,16.219512195122,17.0416197975253,18.2672233820459,19.8435972629521,21.8576709796673,23.3948988566403,24.2538881883144,24.7572815533981
Gambia,15.5038759689922,15.6583629893238,15.6739811912226,15.9459459459459,16.0839160839161,16.3106796116505,16.4227642276423,16.3265306122449,16.0893854748603,15.1431209602955,14.5705521472393,14.3979057591623,14.5142857142857,14.911838790932,15.3363228699552,15.7448526443278,16.3130943672275,17.3782521681121,18.8401350107395,20.4836415362731,22.0361509835194
